name,physical_address,postal_address,phone_number
Middle Point School,"615 Anzac Pde, NT, Middle Point","PO Box 96, NT, Humpty Doo, 0836",(08) 8988 1688
Milikapiti School,"N/A, NT, Milikapiti (Snake Bay)","PMB 96, NT, via Winnellie, 0822",(08) 8978 3960
Milingimbi School,"N/A, NT, Milingimbi, 0822","PMB 54, Milingimbi, NT, via WINNELLIE, 0822",(08) 8987 9902
Milkwood Steiner,"107 Boulter Road, Berrimah NT 0828, NT, Marrara","PO Box 319, NT, Karama, 0812",08 8947 0608
Millner Pre School,"41 Sabine Rd, NT, Millner",",",(08) 792 30333
Millner Primary School,"41 Sabine Rd, NT, Millner, 0810","41 Sabine Rd, NT, MILLNER, 0810",(08) 792 30333
Milyakburra School,"N/A, NT, Milyakburra (Bickerton Island)","PMB 5, NT, Bickerton Island, via Winnellie, 0822",(08) 8987 6084
Mimik-Ga Centre,"4 Henbury Ave, NT, Wanguri, 0810","PO Box 40519, NT, Casuarina, 0811",(08) 898 37900
Minyerri Pre School,"N/A, NT, Minyerri (Hodgson Downs)",",",(08) 8975 9972
Minyerri School,"N/A, NT, Minyerri (Hodgson Downs)","PMB 40, NT, KATHERINE, 0851",(08) 8975 9972
Moil Pre School,"Moil Crescent, NT, Moil",",",(08) 898 37535
Moil Primary School,"37 Lanyon Tce, NT, Moil, 0810","37 Lanyon Tce, NT, MOIL, 0810",(08) 898 37530
Mother Teresa Catholic Primary School,"Ginger St, NT, Zuccoli","PO Box 1125, Palmerston, 0830",(08) 7969 5600
Moulden Pre School,"103 Bonson Tce, NT, Moulden",",",(08) 8930 5965
Moulden Primary School,"103 Bonson Tce, NT, Moulden, 0830","PO Box 80, NT, PALMERSTON, 0831",(08) 8930 5900
Mount Allan School,"N/A, NT, Yuelamu","PMB 6, NT, Mount Allan School via Alice Springs, 0872",(08) 8956 8860
Mulga Bore School,"n/a, NT, Mulga Bore Community","PMB 18, NT, via Alice Springs, 0872",(08) 8956 9824
Murray Downs School,"Outstation, NT, Murray Downs(Imangara)","PMB 48, NT, Alice Springs, 0872",(08) 8964 1951
Murrupurtiyanuwu Catholic Primary School,"Kerinauia Highway, NT, Nguiu","PO Box 45, NT, Wurrumiyanga, Bathurst Island, via Winnellie, 0822",(08) 8978 3986
Mutitjulu School,"Mutitjulu, NT, Ayers Rock","PO Box 121, NT, Yulara, 0872",(08) 8956 2547
Nakara Pre School,"35 Nakara Tce, NT, Nakara",",",(08) 8927 9823
Nakara Primary School,"35 Nakara Tce, NT, Nakara, 0810","35 Nakara Tce, NT, Nakara, 0810",(08) 8927 9823
Nathalie Gorey Pre School,"80 Spearwood Rd, NT, Alice Springs",",",(08) 8952 1186
Nawardekken Academy,"tba, NT, tba","tba, NT, PO Box 37620 Winnellie NT 0821, tba",0429 136 102
Nemarluk School,"30 Styles St, NT, Alawa, 0810","PO Box 39729, NT, WINNELLIE, 0821",(08) 898 50400
Neutral Junction School,"Stuart Hwy, NT, Neutral Junction","Neutral Junction, NT, via Alice Springs, 0872",(08) 8956 9754
Newcastle Waters School,"11 Drovers Dr, NT, Newcastle Waters","Newcastle Waters Station, NT, via Elliott, 0862",(08) 8964 4566
Nganambala School,"n/a, NT, Emu Point","PMB 218, NT, Via Winnellie, 0822",(08) 8978 2001
Nganmarriyanga School,"N/A, NT, Palumpa","PMB 85, NT, via WINNELLIE, 0822",(08) 8978 2380
Ngukurr Pre School,"Bawuda St, NT, Ngukurr",",",(08) 8975 4680
Ngukurr School,"Bawuda St, NT, Ngukurr, 0852","PMB 138, NT, KATHERINE, 0851",(08) 8975 4680
Nhulunbuy Christian School,"N/A, NT, Nhulunbuy","PO Box 621, NT, Nhulunbuy, 0881",(08) 8965 2900
Nhulunbuy High School,"51 Matthew Flinders Way, NT, Nhulunbuy, 0880","PO Box 1096, NT, NHULUNBUY, 0881",(08) 898 70844
Nhulunbuy Pre School,"36 Chesterfield Cct, NT, Nhulunbuy",",",(08) 8987 1056
Nhulunbuy Primary School,"60 Chesterfield Cct, NT, Nhulunbuy, 0880","PO Box 321, NT, NHULUNBUY, 0881",(08) 898 70022
